Nürnberg Hbf;06:00-24:00
Oberhausen Hbf;06:00-22:30
Oberstdorf;08:30-19:00
Offenburg;06:00-23:30
Oldenburg (Oldenb);06:00-22:15
Osnabrück Hbf;06:00-22:15
Paderborn;06:00-22:30
Passau Hbf;06:00-22:00
Pforzheim Hbf;Mo-Fr 06:05-22:00; Sa-Su 06:30-22:00
Plattling;06:30-21:30
Plochingen;Mo-Fr 06:15-10:00, 10:30-20:00; Sa 08:15-12:00, 12:30-19:00; Su 09:15-12:00, 12:30-20:00
Potsdam Hbf;06:00-22:00
Radolfzell;Mo-Fr 07:00-19:45; Sa 08:15-18:15; Su 08:15-19:45
Regensburg Hbf;06:00-22:30
Rheine;Mo-Sa 07:00-22:30; Su 08:00-22:30
Riesa;Mo-Fr 07:30-17:15; Sa-Su 08:30-17:15
Rosenheim;06:00-22:00
Rostock Hbf;06:05-22:05
Saalfeld;08:00-18:00
Saarbrücken Hbf;06:00-23:20
Siegburg/ Bonn;08:00-20:00
Schweinfurt Hbf;08:00-20:00
Schwerin Hbf;06:00-21:45
Siegen;Mo-Fr 06:30-21:30; Sa-Su 09:50-18:40
Sulingen Hbf;06:15-22:00
Stralsund;06:00-21:55
Stuttgart Hbf;00:00-24:00
Trier Hbf;Mo-Sa 06:30-22:20; Su 08:00-21.50
Tübingen Hbf;Mo-Fr 06:00-22:30; Sa+Su 06:30-22:30
Uelzen;06:00-22:00
Ulm Hbf;06:30-23:15
Weimar;08:10-18:35
Westerland (Sylt);Mo-Fr 08:15-20:00; Sa 08:15-18:15; Su 08:15-20:00
Wiesbaden Hbf;Mo-Fr 06:15-19:45; Sa+Su 09:15-18:45
Wolfsburg Hbf;06:00-22:30
Worms Hbf;Mo 08:00-20:00; Di-Su 08:00-13:45, 14:30-20:00
Würzburg Hbf;06:00-22:30
Wuppertal Hbf;06:15-22:15
Zwickau (Sachs);08:00-18:00
Altenburg Hbf;06:00-22:00
Amberg;06:00-22:00
Andernach;06:30-22:00
Angermünde;06:00-22:00
Anklam;07:00-21:00
Aschau (Chiemgau);06:00-22:00
Aschersleben;07:00-21:00
Bad Bentheim;07:00-21:00
Bad Homburg;07:00-21:00
Bad Kleinen;07:30-20:30
Bad Oldesloe;06:35-21:25
Bad Reichenhall;06:00-22:00
Bergen auf Rügen;07:00-21:00
Bernau b. Berlin;06:00-22:00
Bingen (Rh) Hbf;06:50-20:30
Büchen;07:30-20:35
Burgkunstadt;06:00-22:00
Bützow;07:00-21:00
Celle;07:00-21:00
Cham (Oberpf.);06:00-21:00
Coburg Nord;06:00-21:00
Creußen;06:00-22:00
Doberlug-Kirchhain;08:00-20:00
Ebersberg;06:00-22:00
Eberswalde Hbf;06:00-22:00
Elsterwerda;Mo-Fr 07:00-15:30
Falkenberg (Elster);06:00-20:00
Finsterwalde;06:00-22:00
Flughafen Leipzig/Halle;08:00-20:00
Frankfurt (Main) Niederrad;07:00-21:00
Frankfurt (Main) Stadion;07:00-21:00
Gemünden;09:00-18:00
Grafing Bahnhof;06:00-22:00
Greifswald;06:30-21:30
Günzburg;06:00-21:00
Güstrow;06:10-21:55
Gütersloh;06:20-21:00
Hamburg-Bergedorf;07:00-22:00
Hameln;07.00-21:00
Halberstadt;06:00-22:00
Hannover Messe/Laatzen;07:00-21:00
Hartmannshof;06:00-20:00
Jena West;08:00-18:00
Kaufbeuren;07:15-21:00
Langenhagen Mitte;07:00-21:00
Limburg (Lahn);06:40-12:15, 14:45-21:15
Limburg (Süd);00:00-24:00
Lindau-Reutin;08:45-09:15, 10:45-11:15, 18:45-19:15
Lippstadt;Mo-Fr 10:00-18:00; Sa-Su 08:00-12:30, 15:30-19:00
Lüssow (Meckl);06:30-21:30
Lutherstadt Wittenberg;06:00-22:00
Maxhütte-Haidhof;06:00-22:00
Memmingen;06:45-21:15
Montabaur;06:30-21:30
Mülheim (Ruhr) Hbf;08:00-20:00
München Hbf tief;06:30-22:30
Murnau;06:00-22:00
Neubrandenburg;08:15-20:00
Neuhaus (Pegnitz);06:00-22:00
Neustadt (Holst.);06:30-21:30
Oldenburg (Holst.);06:40-21:35
Ostseebad Binz;06:30-21:30
Pasewalk;07:30-20:30
Plauen Vogtl. ob.Bf;Mo-Fr 08:00-19:00
Prien am Chiemsee;06:00-22:00
Regenstauf;06:00-22:00
Remagen;06:00-22:00
Rendsburg;Mo-Fr 08:20-14:00
Ribnitz-Damgarten West;08:00-20:30
Ribnitz-Damgarten Ost;08:00-20:30
Schwandorf;06:30-22:00
Sierksdorf;06:10-21:45
Suest;Mo-Fr 09:00-18:00; Sa-Su 07:30-13:00, 15:00-20:45
Stendal;08:00-18:00
Steinhöring;06:00-22:00
Straubing;06:00-20:00
